A,B,C,D,E,F
-2.6126,11.6740,-0.2023,0.5616,12.6840,7.5087
9.1842,0.8021,10.8120,10.3490,8.9858,-0.5284
0.7723,8.9663,-3.2008,-0.4100,9.2978,7.7617
-1.5044,-0.2632,1.3545,2.3784,1.5046,1.0075
12.1520,-0.4406,2.3692,10.2050,1.0535,9.6895
9.4905,0.1493,-1.1591,-1.0732,-0.6809,10.1340
1.0004,2.7098,9.8801,8.0625,0.7392,9.6440
9.7407,-2.1116,9.3936,10.4670,9.3996,0.2669
9.4400,12.5900,0.5030,-0.3057,8.8728,11.2850
-0.9496,11.1450,0.8492,9.8014,6.6934,1.4383
1.0233,-2.9110,8.4574,10.0450,9.9198,0.8854
0.8514,-0.0273,0.0174,8.9878,1.1618,1.4968
0.7406,11.5260,8.9113,-1.7630,9.7508,10.4290
0.0754,-0.5876,0.1918,-0.0286,11.0290,-0.4756
12.0760,8.0683,6.0483,2.9508,-0.6308,0.5993
-0.5078,-1.1789,0.4052,9.5986,0.0491,6.2859
11.2200,11.6060,12.2510,2.8687,10.0980,7.9577
-0.9873,12.7150,9.1121,-0.8187,8.7926,-0.3256
8.4571,1.2529,6.3469,2.3963,11.4880,10.0750
0.0230,9.1338,11.3190,11.5080,-0.9708,-1.4532
-0.5148,9.4976,1.5517,-0.0311,-0.2799,7.8142
0.3189,10.0890,0.1571,0.8651,0.9613,10.1000
8.3184,1.2881,10.3820,9.5808,2.3486,13.5180
-1.5628,10.1750,9.5549,11.6950,11.5550,9.9367
7.7926,11.1750,10.2170,2.6048,12.7480,10.3150
-0.2580,-1.2694,11.1880,12.3280,11.1210,-2.4344
1.3343,0.9543,-0.5400,1.0399,-0.2217,2.7028
9.3207,11.7080,-1.4866,11.7330,0.6191,11.3980
1.4119,8.9274,7.5977,10.9620,2.1897,9.8708
-1.2927,7.7528,11.8680,9.0772,-0.5662,10.5320
7.7680,-1.4950,9.9910,2.5709,10.5950,-0.3527
11.5700,0.2441,7.2908,10.9150,-1.0859,0.8726
1.8853,0.4573,3.2539,-0.9377,12.8650,0.4272
10.5990,11.3090,-1.0511,0.1324,2.5999,4.3254
7.0121,0.8336,7.8366,7.2774,0.1992,9.7673
9.4546,9.3246,2.7323,10.1270,1.2504,7.1691
8.5208,0.6785,11.7950,0.5113,-1.7431,10.3510
10.3650,12.9020,-0.6490,-1.3076,8.9778,-1.3329
1.5247,9.6405,9.6036,10.1320,12.4120,1.9450
-0.8836,9.0159,7.8869,2.6762,7.7988,0.1065
10.4840,10.5090,8.6368,11.5450,-2.4136,9.9462
-2.1370,1.6311,-2.1485,-1.0340,8.0318,8.6024
12.7360,7.9849,0.9159,-0.4740,0.8029,0.7781
10.2550,10.3060,11.8260,11.2090,1.4358,1.2558
8.0096,10.7020,10.9980,2.0607,12.0180,9.4281
